document_path,from_index,to_index
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,0,1
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,1,2
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,2,3
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,3,4
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,4,5
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,5,6
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,6,7
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,7,8
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,8,9
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,9,10
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,10,11
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,11,12
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,12,13
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,13,14
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,14,15
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,15,16
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,16,17
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,17,18
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,18,19
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,19,20
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,20,21
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,21,22
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,22,23
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,23,24
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_2-short-term-memory_3-the-short-term-memory-api.pdf,24,25
